PosX,PosY,SurfaceValue
2.57576,-2.27273,1.33363
5,5,0
-2.87879,5,1.99354
-4.39394,5,0
-3.18182,-2.87879,1.40964
-4.09091,1.06061,3.26843
-1.36364,2.87879,1.75514
2.87879,5,1.6584
-5,5,2.56361
-1.36364,-2.87879,1.46492
-3.18182,2.27273,2.28721
-4.69697,5,2.78818
-0.454545,-3.48485,1.49601
-0.151515,3.78788,1.77587
3.18182,-1.36364,1.28526
2.87879,4.69697,1.43037
4.69697,5,1.45456
-1.66667,4.39394,1.67222
-4.69697,-0.151515,3.10605
-4.09091,5,2.82964
-1.66667,0.151515,1.70677
-4.39394,-4.39394,0
4.09091,1.06061,1.42346
0.151515,1.9697,1.67913
-3.78788,5,2.80891
-3.18182,4.09091,0
0.151515,4.69697,1.75859
-2.87879,-1.66667,1.36127
-1.66667,5,1.69986
1.9697,0.151515,1.7966
1.9697,4.39394,1.57548
-3.48485,5,0
0.454545,0.757576,2.12828
-1.36364,4.69697,1.73786
0.454545,-3.78788,2.35631
3.48485,-3.48485,2.22848
-3.18182,5,2.08336
-2.57576,5,1.90371
3.48485,-2.87879,1.37509
-4.39394,-2.57576,0
-2.27273,5,1.61003
-0.757576,3.78788,1.7655
-3.48485,-4.69697,0
-3.18182,4.69697,2.13174
2.27273,4.09091,1.74478
-1.06061,-1.06061,1.5202
-1.9697,-5,1.51329
-1.66667,-0.454545,1.54438
-1.36364,5,1.74823
-4.69697,-0.454545,3.07495
-1.9697,5,1.67913
2.87879,1.9697,1.33018
1.36364,-1.06061,1.41655
-1.06061,5,1.78623
1.66667,1.06061,1.59621
4.69697,-0.454545,1.83806
-0.757576,5,1.78623
-2.27273,4.69697,1.78969
-4.09091,-2.87879,2.20429
-3.18182,3.18182,2.12483
-0.454545,5,1.78278
0.757576,3.18182,1.64804
1.66667,4.69697,2.41159
5,1.66667,0
1.36364,2.57576,1.73786
-1.9697,3.48485,1.73096
3.78788,0.454545,1.36472
-0.151515,5,1.7655
0.454545,0.454545,1.53402
2.87879,0.151515,1.33363
2.87879,4.39394,1.63076
1.36364,-3.48485,1.92444
-1.36364,2.57576,1.7655
-3.78788,2.87879,3.19242
-1.66667,4.69697,1.67568
-2.87879,0.151515,1.64804
-2.87879,4.39394,2.00044
2.27273,5,1.64458
-5,1.66667,3.04731
0.151515,5,1.77933
1.9697,-3.48485,1.93825
-0.757576,3.18182,2.02463
1.06061,4.69697,1.69641
4.09091,4.39394,1.15397
-1.9697,4.69697,1.5202
-3.48485,-1.66667,1.66531
4.09091,0.151515,1.37163
-3.78788,0.151515,2.02117
5,-1.36364,0
-3.78788,4.39394,2.98857
0.454545,5,1.80696
-1.66667,1.06061,1.67222
0.757576,5,2.81582
-0.454545,-0.454545,1.5893
1.9697,-2.27273,1.53057
-1.36364,-1.06061,1.50638
-0.454545,4.69697,1.77242
-2.87879,1.9697,2.08682
-3.78788,-1.66667,1.82079
1.06061,5,1.77242
3.48485,-4.69697,0
3.18182,4.69697,1.29908
-2.87879,-1.36364,1.43728
1.9697,5,1.69641
0.151515,3.48485,1.73786
1.9697,-5,0
1.36364,5,2.28376
-0.151515,4.69697,1.7655
0.454545,3.78788,1.75169
-1.9697,0.151515,1.53402
3.48485,-5,0
-1.9697,4.39394,1.54438
3.48485,5,1.29562
1.66667,5,1.75859
-3.18182,1.66667,1.67568
-4.09091,-2.57576,1.53057
-2.57576,4.69697,1.88297
2.57576,5,1.58584
1.36364,4.69697,1.72405
3.18182,5,1.3509
2.27273,1.66667,1.50984
3.48485,-0.454545,1.29908
-3.18182,1.9697,1.9659
-1.36364,-1.9697,1.45456
3.78788,5,1.39236
1.36364,-4.39394,0
4.09091,5,1.99008
-5,4.09091,2.94711
-1.66667,2.27273,1.75859
-2.57576,0.151515,1.59275
-2.57576,4.39394,1.83115
3.78788,4.69697,1.21271
3.18182,-2.87879,2.22502
-4.69697,2.57576,3.30644
4.39394,5,1.05377
-0.454545,1.9697,1.7275
0.454545,-1.36364,1.49947
-5,4.69697,2.60161
-1.36364,4.09091,1.73096
-0.757576,-1.9697,1.53057
-4.69697,4.69697,2.87802
-1.9697,2.87879,1.75169
-4.39394,4.69697,0
2.87879,3.18182,1.32672
4.39394,-4.09091,2.25266
-4.09091,4.69697,0
4.39394,-0.757576,1.28181
-3.78788,4.69697,0
1.36364,-0.454545,1.85533
-3.48485,1.36364,1.99008
-3.18182,3.48485,2.13174
4.69697,0.454545,2.11791
-5,-3.48485,0
