Desired Depth,Initial Ablation Time,Kp,Kd
0.5,1.0,3.0,1.0

Timestamp,Current Depth,Error,Derivative Error,Calculated Time ON
2024-04-25 20:45:34,0.119,0.381,0.381,1.524
2024-04-25 20:46:33,0.2655,0.2345,-0.1465,0.557
2024-04-25 20:47:32,0.3646,0.1354,-0.0991,0.3071
2024-04-25 20:48:32,0.4303,0.0697,-0.0657,0.2
2024-04-25 20:49:31,0.4528,0.0472,-0.0225,0.2
2024-04-25 20:50:29,0.4651,0.0349,-0.0123,0.2
2024-04-25 20:51:29,0.4826,0.0174,-0.0175,0.2
2024-04-25 20:52:44,0.4777,0.0223,0.0049,0.2
2024-04-25 20:53:53,0.4883,0.0117,-0.0106,0.2
2024-04-25 20:54:44,0.5122,-0.0122,-0.0239,-143
