PosX,PosY,SurfaceValue
-1.25,-1.875,1.52366
-0.625,-1.875,1.60312
0,-1.875,1.59967
1.875,-4.375,0
-5,-3.75,0
0.625,-1.875,1.61348
1.25,-1.875,1.70677
-3.125,-4.375,0
1.875,-1.875,1.55821
-3.125,-3.125,1.61003
2.5,-1.875,1.37509
3.75,-1.875,1.30599
-5,-2.5,0
-3.125,-2.5,1.48565
-2.5,-2.5,1.39927
-3.75,-5,0
-1.875,-2.5,1.7275
-1.25,-2.5,1.49947
-0.625,-2.5,1.55821
1.875,-5,0
0,-2.5,1.6584
0.625,-2.5,2.21465
1.25,-2.5,2.01427
3.125,-2.5,1.35436
4.375,-2.5,1.45456
5,-2.5,0
1.25,-5,0
-5,-3.125,0
-4.375,-3.125,0
-0.625,-4.375,0
-3.75,-3.125,1.81387
3.75,-3.75,1.7655
-2.5,-3.125,1.55475
-1.875,-3.125,1.66185
0,-3.125,1.74823
1.875,-3.125,1.71022
2.5,-3.125,1.64112
3.125,-3.125,1.60312
3.75,-3.125,1.54438
4.375,-3.125,0
-1.25,-5,0
5,-3.125,1.16088
-4.375,-3.75,0
4.375,-5,0
-3.75,-3.75,0
-1.875,-3.75,1.87261
-1.25,-3.75,1.76896
-0.625,-3.75,0
0,-3.75,1.64458
0.625,-3.75,2.37013
1.25,-3.75,0
1.875,-3.75,0
4.375,-3.75,1.92098
-5,-4.375,0
-4.375,-4.375,0
-2.5,-4.375,0
-1.875,-4.375,0.0691
0,-4.375,0
2.5,-4.375,0
3.125,-4.375,0
3.75,-4.375,0
4.375,-4.375,2.56015
5,-4.375,0
-5,-5,0
-4.375,-5,0
-2.5,-5,0
-1.875,-5,0
-0.625,-5,0
0.625,-5,0
3.125,-5,0
5,-5,0
