Desired Depth,Initial Ablation Time,Kp,Kd
0.5,0.6,2.0,2.0

Timestamp,Current Depth,Error,Derivative Error,Calculated Time ON
2024-04-24 17:59:13,0.157,0.343,0.343,1.372
2024-04-24 18:00:21,0.267,0.233,0.11,0.686
2024-04-24 18:01:23,0.3536,0.1464,0.0866,0.466
2024-04-24 18:02:34,0.4746,0.0254,0.121,0.2928
2024-04-24 18:03:25,0.5181,-0.0181,0.0435,-143
