1.65421, 1.64652, 1.62148, 1.61828, 1.61297, 1.67649, 1.56553, 1.54038, 1.5203, 1.51072, 1.48537, 1.46776, 1.46573, 1.55768, 1.42676, 1.42185, 1.40477, 1.38096, 1.37164, 1.3609, 1.34325, 1.33043, 1.32749, 1.3496, 1.33043, 
1.6613, 1.66524, 1.61692, 1.60951, 1.6353, 1.68976, 1.56519, 1.53557, 1.52327, 1.50842, 1.49163, 1.47437, 1.46104, 1.59984, 1.43444, 1.42662, 1.39638, 1.38625, 1.3787, 1.36383, 1.3487, 1.34761, 1.33741, 1.38911, 1.31401, 
1.65693, 1.64457, 1.63795, 1.61335, 1.60604, 1.72755, 1.56173, 1.55101, 1.53132, 1.50698, 1.4952, 1.47496, 1.47316, 1.54153, 1.43264, 1.42662, 1.40665, 1.40015, 1.38258, 1.37129, 1.35608, 1.35098, 1.35435, 1.3805, 1.32685, 
1.66823, 1.66494, 1.67403, 1.62855, 1.63101, 1.69744, 1.57288, 1.56525, 1.5334, 1.51581, 1.50235, 1.48286, 1.48046, 1.62, 1.45671, 1.43623, 1.41213, 1.39973, 1.39188, 1.37738, 1.36352, 1.3635, 1.35112, 1.38527, 1.40354, 
1.67924, 1.66498, 1.65378, 1.62284, 1.60593, 1.71725, 1.58137, 1.56149, 1.53986, 1.52153, 1.50978, 1.49907, 1.48355, 1.7333, 1.45831, 1.43627, 1.41949, 1.40417, 1.39622, 1.38609, 1.3607, 1.35537, 1.37482, 1.40249, 1.32786, 
1.68137, 1.65662, 1.64742, 1.63948, 1.61734, 1.60084, 1.58891, 1.57216, 1.54855, 1.52656, 1.51061, 1.49882, 1.48691, 1.73127, 1.46841, 1.44465, 1.42412, 1.40702, 1.40513, 1.39525, 1.37385, 1.36038, 1.35469, 1.39477, 1.32258, 
1.68117, 1.66411, 1.65683, 1.62757, 1.60699, 1.70985, 1.57844, 1.56549, 1.56459, 1.53492, 1.51334, 1.4983, 1.48575, 1.62856, 1.45534, 1.43687, 1.427, 1.4123, 1.40295, 1.38963, 1.37516, 1.3715, 1.35367, 1.39867, 1.32011, 
1.68597, 1.66515, 1.66509, 1.65585, 1.72298, 1.743, 1.5996, 1.57628, 1.54356, 1.53552, 1.51375, 1.5047, 1.4888, 1.70018, 1.46132, 1.4508, 1.42458, 1.41597, 1.40182, 1.3983, 1.3775, 1.37496, 1.36821, 1.42773, 1.4291, 
1.69262, 1.67239, 1.65538, 1.65074, 1.62018, 1.75445, 1.58877, 1.57185, 1.56484, 1.53501, 1.52388, 1.50078, 1.49676, 1.70456, 1.45271, 1.44088, 1.4307, 1.41959, 1.40711, 1.39914, 1.38187, 1.3722, 1.36772, 1.3998, 1.32967, 
1.70394, 1.68562, 1.65742, 1.64845, 1.63587, 1.75429, 1.59871, 1.57846, 1.56881, 1.54344, 1.52377, 1.50428, 1.49907, 1.68674, 1.46541, 1.45022, 1.43338, 1.42749, 1.41558, 1.40072, 1.38898, 1.37517, 1.36896, 1.44044, 1.42569, 
